epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1549.76,0.32401,1.28103,0.85455,0.99779,1,0.995,0.97891,0.24204,0.98521,0.78364,0.00055164,0.00055164,0.00055164
2,4815.43,0.23086,0.59157,0.8152,0.99979,1,0.995,0.99189,0.18731,0.53566,0.7721,0.000741896,0.000741896,0.000741896
3,6624.61,0.18317,0.44357,0.80467,0.99557,0.99899,0.995,0.99219,0.12083,0.42333,0.76426,0.000565411,0.000565411,0.000565411
